,Sentiment,Score
1250,Positive,0.266
1251,Negative,0.182
1252,Positive,0.145
1253,Negative,0.207
1254,Positive,0.289
1255,Negative,0.391
1256,Negative,0.201
1257,Negative,0.0
1258,Negative,0.0
1259,Negative,0.0
1260,Negative,0.361
1261,Negative,0.23
1262,Negative,0.116
1263,Negative,0.252
1264,Negative,0.244
1265,Positive,0.083
1266,Negative,0.198
1267,Negative,0.208
1268,Negative,0.131
1269,Positive,0.338
1270,Positive,0.433
1271,Negative,0.0
1272,Negative,0.22
1273,Negative,0.205
1274,Negative,0.311
1275,Negative,0.0
1276,Positive,0.317
1277,Positive,0.247
1278,Positive,0.155
1279,Positive,0.253
1280,Negative,0.19
1281,Negative,0.231
1282,Positive,0.2
1283,Positive,0.435
1284,Negative,0.334
1285,Negative,0.252
1286,Negative,0.215
1287,Positive,0.521
1288,Negative,0.372
1289,Negative,0.187
1290,Negative,0.192
1291,Negative,0.339
1292,Positive,0.316
1293,Negative,0.191
1294,Negative,0.223
1295,Negative,0.158
1296,Negative,0.164
1297,Negative,0.271
1298,Negative,0.342
1299,Positive,0.191
1300,Negative,0.338
1301,Positive,0.182
1302,Positive,0.174
1303,Positive,0.21
1304,Negative,0.234
1305,Negative,0.0
1306,Negative,0.268
1307,Negative,0.175
1308,Positive,0.04
1309,Negative,0.0
1310,Positive,0.249
1311,Positive,0.219
1312,Positive,0.244
1313,Positive,0.441
1314,Negative,0.177
1315,Negative,0.0
1316,Negative,0.193
1317,Positive,0.281
1318,Positive,0.114
1319,Positive,0.26
1320,Negative,0.143
1321,Positive,0.2
1322,Positive,0.168
1323,Negative,0.053
1324,Negative,0.165
1325,Negative,0.268
1326,Negative,0.315
1327,Positive,0.228
1328,Positive,0.226
1329,Negative,0.172
1330,Negative,0.486
1331,Positive,0.22
1332,Positive,0.211
1333,Positive,0.073
1334,Positive,0.242
1335,Positive,0.164
1336,Negative,0.182
1337,Positive,0.134
1338,Negative,0.19
1339,Negative,0.306
1340,Positive,0.299
1341,Positive,0.158
1342,Negative,0.188
1343,Positive,0.167
1344,Positive,0.348
1345,Positive,0.21
1346,Positive,0.161
1347,Negative,0.233
1348,Positive,0.183
1349,Positive,0.174
1350,Positive,0.203
1351,Negative,0.196
1352,Negative,0.183
1353,Negative,0.229
1354,Positive,0.114
1355,Positive,0.474
1356,Negative,0.221
1357,Negative,0.322
1358,Positive,0.402
