,Verbs
1909,hopping
1910,seat
1911,means
1912,sleeping
1913,add
1914,find
1915,paid
1916,left
1917,got
1918,going
1919,encountered
1920,paying
1921,contacted
1922,cancelled
1923,calling
1924,get
1925,kept
1926,shocking
1927,helping
1928,becoming
1929,forced
1930,spend
1931,fly
1932,knows
1933,heathrow
1934,care
1935,repeat
1936,obliged
1937,update
1938,make
1939,empathy
1940,lies
1941,told
1942,tell
1943,given
1944,show
1945,say
1946,suited
1947,working
1948,regarding
1949,sliding
1950,travelling
1951,charging
1952,finds
1953,sleep
1954,provided
1955,compared
1956,bag
1957,pair
1958,compared
1959,pinching
1960,regarding
1961,offer
1962,go
1963,find
1964,offer
1965,rude
1966,asked
1967,replaced
1968,provided
1969,left
1970,shocked
1971,seem
1972,greeted
1973,asked
1974,needed
1975,afforded
1976,disappointing
1977,paid
1978,expect
1979,chicken
1980,looked
1981,discoloured
1982,become
1983,expect
1984,choose
1985,travelled
1986,sweden
1987,arrived
1988,missing
1989,searching
1990,found
1991,told
1992,left
1993,gave
1994,staying
1995,told
1996,contact
1997,contact
1998,tried
1999,give
2000,found
2001,said
2002,delivered
2003,told
2004,gave
2005,staying
2006,went
2007,seen
2008,tried
2009,try
2010,said
2011,delivered
2012,stayed
2013,given
2014,asked
2015,flying
2016,told
2017,questioned
2018,walked
2019,saw
2020,came
2021,send
2022,send
2023,came
2024,received
2025,made
2026,website
2027,toiletries
2028,said
2029,refund
2030,received
2031,’
2032,know
2033,appears
2034,appalled
2035,handled
2036,lack
2037,planning
2038,includes
2039,took
2040,go
2041,boarding
2042,wait
2043,boarding
2044,premium
2045,got
2046,delayed
2047,missed
2048,connecting
2049,including
2050,aged
2051,missed
2052,connecting
2053,waited
2054,talk
2055,told
2056,booked
2057,stay
2058,asked
2059,go
2060,given
2061,travel
2062,booked
2063,felt
2064,wanted
2065,check
2066,needed
2067,waiting
2068,holding
2069,travelling
2070,logged
2071,took
2072,lost
2073,missing
2074,crew
2075,brought
2076,changed
2077,london
2078,paid
2079,cancelled
2080,honored
2081,bought
2082,seated
2083,asked
2084,check
2085,told
2086,understand
2087,help
2088,ba
2089,told
2090,return
2091,go
2092,help
2093,gives
2094,missed
2095,paid
2096,changed
2097,fixed
2098,trying
2099,deal
2100,getting
2101,trying
2102,get
2103,reach
2104,helping
2105,wrote
2106,requesting
2107,received
2108,attached
2109,say
2110,go
2111,refuse
2112,address
2113,expressed
2114,handing
2115,slapping
2116,say
2117,trained
2118,point
2119,give
2120,trying
2121,take
2122,sharing
2123,downgraded
2124,cheated
2125,felt
2126,booked
2127,paid
2128,forced
2129,go
2130,ensure
2131,’
2132,get
2133,assume
2134,given
2135,cracker
2136,cabin
2137,announced
2138,get
2139,know
2140,compiled
2141,paid
2142,£11
2143,watch
2144,send
2145,provided
2146,seen
2147,used
2148,seems
2149,look
2150,crew
2151,check
2152,wing
2153,brought
2154,seems
2155,used
2156,used
2157,offer
2158,cutting
2159,lounge
2160,disgusting
2161,cleaned
2162,visit
2163,washrooms
2164,boarding
2165,muddled
2166,appeared
2167,gate
2168,requesting
2169,check
2170,get
2171,left
2172,packet
2173,offered
2174,europe
2175,cutting
2176,lot
2177,covid
2178,emerald
2179,cleared
2180,stay
2181,paid
2182,wifi
2183,tagged
2184,came
2185,handling
2186,keep
2187,dropping
2188,recommend
2189,tried
2190,waited
2191,ended
2192,hanging
2193,excusing
2194,calls
2195,waiting
2196,look
2197,sent
2198,need
2199,need
2200,booking
2201,need
2202,waiting
2203,receive
2204,sleeping
2205,booked
2206,operated
2207,listed
2208,jan
2209,experiencing
2210,sat
2211,london
2212,landing
